タイトル / Title,著者・作成者 / Creator,別表記タイトル / Other Title,種別 / Type,言語 / Langage,年月日 / Date,NCID,雑誌名 / Journal,巻 / Volume,号 / Number,"ページ数, 冊数 / Pages, Volumes",大きさ / Size,専攻 / Department,注記 / Note,請求記号 / Call Number,所蔵図書室 / Holding Library,タグ / Tag,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,IIIFマニフェストURI,# of media
"Result of Trials of the Experimental Engine in the Mechanical Laboratory, College of Engineering, Tokyo",斯波 忠三郎|根岸 政一|内丸 最一郎|Shiba Chuzaburo|Negishi (Negishy) Masaichi|Uchimaru (Utimaru) Saichiro,工科大學機械工學實驗用機関關の試驗,紀要論文|Bulletin Paper,英語|English,1903,AN00286013,東京帝國大學工科大學學術報告,,5,p.10-15,,,,,工2号館図書室|Engineering Bldg. 2 Library,,b264f691-dc97-470a-beff-ea8cc5b338d0,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/b264f691-dc97-470a-beff-ea8cc5b338d0,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68854,,,0
韓國建築調査報告,關野 貞|Sekino Tadashi,,紀要論文|Bulletin Paper,日本語|Japanese,1904,AN00286013,東京帝國大學工科大學學術報告,,6,p.1-252,,,,,工2号館図書室|Engineering Bldg. 2 Library,,a241322c-ce53-49f1-b51f-5ed0a1399cb9,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/a241322c-ce53-49f1-b51f-5ed0a1399cb9,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68855,,,0
北京皇城建築装飾調査報告,奥山 恒五郎|Okuyama Tsunegoro,"北京皇城ノ建築装飾調査報告
北京皇城建築蓋飾",紀要論文|Bulletin Paper,日本語|Japanese,1906,AN00286013,東京帝國大學工科大學學術報告,,7,p.1-44,,,,,工2号館図書室|Engineering Bldg. 2 Library,,834463c6-96f6-4ab7-95cf-47c49f6463bb,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/834463c6-96f6-4ab7-95cf-47c49f6463bb,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68856,,,0
Report on a research of the ornament of the palace buildings in the Imperial City of Peking,奥山 恒五郎|Okuyama Tsunegoro,Decoration of Palace Buildings of Peking,紀要論文|Bulletin Paper,英語|English,1906,AN00286013,東京帝國大學工科大學學術報告,,7,p.1-57,,,,,工2号館図書室|Engineering Bldg. 2 Library,,96f6c28b-f054-4258-9b9f-f2ab4896fcaa,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/96f6c28b-f054-4258-9b9f-f2ab4896fcaa,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68857,,,0
"Berechnung und Bau der grossen Esse auf dem Kaiserlich-Japanischen Stahlwerke in Yawata, Chikuzen, Japan",今泉 嘉一郎|Imaizumi Kaichiro,八幡製鐵所大煙突の設計及建築,紀要論文|Bulletin Paper,ドイツ語|German,1906,AN00286013,東京帝國大學工科大學學術報告,,8,p.1-84,,,,,工2号館図書室|Engineering Bldg. 2 Library,,84f7aa1e-158a-4ce1-a141-80e9cce18311,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/84f7aa1e-158a-4ce1-a141-80e9cce18311,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68858,,,0
本邦に於ける製鋼平爐の形状及び其大さ,俵 國一|三島 德七|Tawara Kuniichi|Mishima Tokushichi,,紀要論文|Bulletin Paper,日本語|Japanese,1920,AN00162735,東京帝国大学工学部学術報告,,9,p.1-56,,,,,工2号館図書室|Engineering Bldg. 2 Library,,b3dff84a-7ea2-4eac-8774-4c3a8e53d40e,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/b3dff84a-7ea2-4eac-8774-4c3a8e53d40e,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68859,,,0
法隆寺建築論,伊東 忠太|Ito Chuta,,紀要論文|Bulletin Paper,日本語|Japanese,1898,AN00286057,東京帝國大學紀要. 工科,1,1,p.1-176,,,,,工2号館図書室|Engineering Bldg. 2 Library,,8c8310e5-4236-4ddc-8a23-c419dba70a84,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/8c8310e5-4236-4ddc-8a23-c419dba70a84,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68860,,,0
日光廟建築論,塚本 靖|大澤 三之助|Tsukamoto Yasushi|Osawa Sannosuke,,紀要論文|Bulletin Paper,日本語|Japanese,1903,AN00286057,東京帝國大學紀要. 工科,1,2,p.1-108,,,,,工2号館図書室|Engineering Bldg. 2 Library,,fb29ab0d-0cc8-47d5-841c-5691edbf59d1,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/fb29ab0d-0cc8-47d5-841c-5691edbf59d1,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68861,,,0
日光廟建築論之正誤及補遺,塚本 靖|Tsukamoto Yasushi,,紀要論文|Bulletin Paper,日本語|Japanese,1903,AN00286057,東京帝國大學紀要. 工科,1,2,p.1-13,,,,,工2号館図書室|Engineering Bldg. 2 Library,,ed229fea-6791-47ec-921c-1022d8422990,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/ed229fea-6791-47ec-921c-1022d8422990,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68862,,,0
Experiments on Vibration of the Japanese Torpedo Boat No 18 and Torpedo Boat Destroyers Harusame and Hayatori,大森 房吉|パービス|斯波 忠三郎|寺野 精一|Omori Fusakichi|Purvis Frank Prior|Shiba Chuzaburo|Terano Seiichi,第十八號水雷艇並水雷驅逐艦春雨及速鳥號振動試驗,紀要論文|Bulletin Paper,英語|English,1904,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",2,1,p.1-74,,,,,工2号館図書室|Engineering Bldg. 2 Library,,c007acc1-1119-4cbc-b479-2e2dd73d2e48,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/c007acc1-1119-4cbc-b479-2e2dd73d2e48,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68863,,,0
The Use of Differentially Wound Telephone Receiver in Electrical Measurement,鳳 秀太郎|Ho Hidetaro,電氣測定上指差卷電話機の應用,紀要論文|Bulletin Paper,英語|English,1904,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",2,2,p.75-88,,,,,工2号館図書室|Engineering Bldg. 2 Library,,9b21c817-d4b8-493b-99a5-d86c88ac4124,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/9b21c817-d4b8-493b-99a5-d86c88ac4124,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68864,,,0
Single-Phase Commutator Motors with special reference to the Single-Phase Repulsion Motor,杉山 清次郎|Sugiyama Seijiro,整流子を有する單相電動機特に單相式反撥電動機に就て,紀要論文|Bulletin Paper,英語|English,1904,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",2,2,p.89-112,,,,,工2号館図書室|Engineering Bldg. 2 Library,,9bac7135-5a60-4024-a8cf-c40a2ed17493,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/9bac7135-5a60-4024-a8cf-c40a2ed17493,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68865,,,0
Universal Repetitive Bending Test,井口 在屋|田中 不二|Inokuchi (Inokuty) Ariya|Tanaka Fuji,繰り返し屋彌向き曲げ試驗,紀要論文|Bulletin Paper,英語|English,1905,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",2,3,p.113-123,,,,,工2号館図書室|Engineering Bldg. 2 Library,,d390a4cc-c905-4b9a-9fd0-18f90610def5,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/d390a4cc-c905-4b9a-9fd0-18f90610def5,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68866,,,0
Strain Energy of a Beam beyond the Elastic Limit,井口 在屋|田中 不二|Inokuchi (Inokuty) Ariya|Tanaka Fuji,彈性界以外に於ける梁のヒズミエネルギー,紀要論文|Bulletin Paper,英語|English,1905,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",2,3,p.125-130,,,,,工2号館図書室|Engineering Bldg. 2 Library,,1d765803-7722-4ea3-9eb1-b9917e791d5c,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/1d765803-7722-4ea3-9eb1-b9917e791d5c,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68867,,,0
Shearing Test of Timbers,井口 在屋|田中 不二|Inokuchi (Inokuty) Ariya|Tanaka Fuji,木材剪斷試驗,紀要論文|Bulletin Paper,英語|English,1905,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",2,3,p.131-140,,,,,工2号館図書室|Engineering Bldg. 2 Library,,188f6f5b-ff1e-433f-8b41-ce6c3e8d9b31,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/188f6f5b-ff1e-433f-8b41-ce6c3e8d9b31,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68868,,,0
Results of Test of Pressure Gauges,井口 在屋|田中 不二|Inokuchi (Inokuty) Ariya|Tanaka Fuji,壓力計試驗の結果,紀要論文|Bulletin Paper,英語|English,1905,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",2,3,p.141-149,,,,,工2号館図書室|Engineering Bldg. 2 Library,,401b598e-ad30-4d7c-abd6-6d299b4703af,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/401b598e-ad30-4d7c-abd6-6d299b4703af,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68869,,,0
Theory of Ordinary Centrifugal Pumps and of a New Centrifugal Pump having Divergent Vortex Chamber provided with Guide Vanes for producing Forced Vortex,井口 在屋|Inokuchi (Inokuty) Ariya,普通渦卷ポンプの理論及強制ツムジ運動を生ずる爲め導き羽根を備へたる末廣ツムジ部屋を有する新式渦卷ポンプの理論,紀要論文|Bulletin Paper,英語|English,1905,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",2,4,p.151-250,,,,,工2号館図書室|Engineering Bldg. 2 Library,,6a1da641-e694-4676-b4c1-5ddd6bc95603,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/6a1da641-e694-4676-b4c1-5ddd6bc95603,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68870,,,0
Results of Tests of a Forced Vortex Centrifugal Pump,井口 在屋|Inokuchi (Inokuty) Ariya,強制ツムジ運動ポンプの實驗の結果,紀要論文|Bulletin Paper,英語|English,1905,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",2,4,p.251-265,,,,,工2号館図書室|Engineering Bldg. 2 Library,,9ec3db93-67f2-47f0-ac0f-8efd1eaed130,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/9ec3db93-67f2-47f0-ac0f-8efd1eaed130,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68871,,,0
"The Colouring Principle of the Japanese Dyestuff ""Fukugi"" and its Application to Silk",伊東 栄三郎|Ito Eizaburo,本邦産染料福木の成分及應用,紀要論文|Bulletin Paper,英語|English,1905,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",2,5,p.267-279,,,,,工2号館図書室|Engineering Bldg. 2 Library,,8afbdd8a-caf0-446d-8a8b-bc329e94b831,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/8afbdd8a-caf0-446d-8a8b-bc329e94b831,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68872,,,0
平城京及大内裏考,關野 貞|Sekino Tadashi,,紀要論文|Bulletin Paper,日本語|Japanese,1907,AN00286057,東京帝國大學紀要. 工科,3,,p.1-188,,,,,工2号館図書室|Engineering Bldg. 2 Library,,8f4e29da-8749-4764-ac1d-78abba242613,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/8f4e29da-8749-4764-ac1d-78abba242613,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68873,,,0
On a new Unsaturated Fatty Acid in Japanese Sardine Oil,辻本 満丸|Tsujimoto Mitsumaru,鰮油の新不飽和脂肪酸に就て,紀要論文|Bulletin Paper,英語|English,1906,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,1,p.1-9,,,,,工2号館図書室|Engineering Bldg. 2 Library,,461b784e-c939-48c5-b9df-f8e5cd8d3479,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/461b784e-c939-48c5-b9df-f8e5cd8d3479,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68874,,,0
The Occurrence of Clupanodonic Acid in Herring and Whale Oils,辻本 満丸|Tsujimoto Mitsumaru,鰊及鯨油に鰮酸の現存することに就て,紀要論文|Bulletin Paper,英語|English,1906,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,1,p.11-14,,,,,工2号館図書室|Engineering Bldg. 2 Library,,7ab29101-41b1-4de5-bb17-412d51bc728c,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/7ab29101-41b1-4de5-bb17-412d51bc728c,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68875,,,0
On the Starch of Glutinous Rice,田中 芳男|Tanaka Yoshio,糯米澱粉の成分に就て,紀要論文|Bulletin Paper,英語|English,1907,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,2,p.15-29,,,,,工2号館図書室|Engineering Bldg. 2 Library,,376388cf-0fe8-45ee-a4e7-b1ba61a1b5ac,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/376388cf-0fe8-45ee-a4e7-b1ba61a1b5ac,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68876,,,0
New Sulphide Colours : Fukugi Brown and Fukugi Brown G.,伊東 栄三郎|Ito Eizaburo,新硫化染料フクギブラウン及フクギブラウンG,紀要論文|Bulletin Paper,英語|English,1907,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,2,p.31-33,,,,,工2号館図書室|Engineering Bldg. 2 Library,,5de647ec-853c-4eea-8c62-c03a8649e5dc,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/5de647ec-853c-4eea-8c62-c03a8649e5dc,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68877,,,0
New Azo-Colours produced from Fukugetin,伊東 栄三郎|Ito Eizaburo,フクゲチンより製出したるニトロ染料に就て,紀要論文|Bulletin Paper,英語|English,1907,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,2,p.35-38,,,,,工2号館図書室|Engineering Bldg. 2 Library,,145e4b4b-6f09-4843-b78b-2a710ba2dea4,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/145e4b4b-6f09-4843-b78b-2a710ba2dea4,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68878,,,0
On the Hydrolytic Enzyme in the Resting Seeds of Some Gramineæ,田中 芳男|Tanaka Yoshio,一二穀の未發芽種子中に存在するヂアスターゼに就て,紀要論文|Bulletin Paper,英語|English,1907,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,3,p.39-52,,,,,工2号館図書室|Engineering Bldg. 2 Library,,15121066-32db-41c7-9648-6aa550326323,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/15121066-32db-41c7-9648-6aa550326323,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68879,,,0
Nitro-colouring Matters derived from Fukugiflavin,伊東 栄三郎|Ito Eizaburo,フクゲチンより製出したるニトロ染料に就て,紀要論文|Bulletin Paper,英語|English,1907,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,3,p.53-55,,,,,工2号館図書室|Engineering Bldg. 2 Library,,bbb6b8d6-9f9d-4a45-b7f2-1056f3c06a73,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/bbb6b8d6-9f9d-4a45-b7f2-1056f3c06a73,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68880,,,0
"On the Japanese Dyewood ""Doss""",伊東 栄三郎|Ito Eizaburo,本邦産染料ドスに就て,紀要論文|Bulletin Paper,英語|English,1907,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,3,p.57-62,,,,,工2号館図書室|Engineering Bldg. 2 Library,,b2b24d52-3a77-47d6-9421-def08abb20fc,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/b2b24d52-3a77-47d6-9421-def08abb20fc,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68881,,,0
On the Composition of Chrysalis Oil,辻本 満丸|Tsujimoto Mitsumaru,蛹油に就て,紀要論文|Bulletin Paper,英語|English,1907,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,3,p.63-74,,,,,工2号館図書室|Engineering Bldg. 2 Library,,adc3ad05-e69f-43ed-a297-333b4b501239,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/adc3ad05-e69f-43ed-a297-333b4b501239,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68882,,,0
On a Few Japanese Vegetable Oils,辻本 満丸|Tsujimoto Mitsumaru,本邦産植物油に就て,紀要論文|Bulletin Paper,英語|English,1907,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,3,p.75-88,,,,,工2号館図書室|Engineering Bldg. 2 Library,,fca4501d-16be-4414-a6e5-f01a04ae8f8b,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/fca4501d-16be-4414-a6e5-f01a04ae8f8b,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68883,,,0
On Japanese Lacquer,三山 喜三郎|Miyama Kisaburo,漆に就て,紀要論文|Bulletin Paper,英語|English,1907,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,3,p.89-110,,,,,工2号館図書室|Engineering Bldg. 2 Library,,26066757-9a84-42bf-aa4c-0d898f615a06,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/26066757-9a84-42bf-aa4c-0d898f615a06,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68884,,,0
The Fundamental Principles of the Loading of the Active Materials of Alternating Current Transformers and Polyphase Induction Motors,鳳 秀太郎|Ho Hidetaro,交流變壓器及多相誘導電動機の要部材料の電氣的及磁氣的密度に關する原理,紀要論文|Bulletin Paper,英語|English,1908,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",4,4,p.111-142,,,,,工2号館図書室|Engineering Bldg. 2 Library,,267f991d-9c95-4db7-99f4-fa3480406714,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/267f991d-9c95-4db7-99f4-fa3480406714,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68885,,,0
